Date,Total Contests,Avg Overlap,1天,1周,1月,长周期
1970-01,2133,7.18,0,0,0,15319
2014-03,2,272.0,0,0,0,544
2014-04,1,324.0,0,0,0,324
2014-05,4,14.25,0,25,0,32
2014-07,2,395.0,0,0,0,790
2014-08,2,22.0,0,0,0,44
2014-09,11,276.45,36,54,0,2951
2014-10,14,509.29,25,0,0,7105
2014-11,26,468.88,155,183,0,11853
2014-12,29,398.9,330,304,190,10744
2015-01,58,822.29,176,296,107,47114
2015-02,34,676.62,116,243,136,22510
2015-03,138,762.82,928,684,3916,99741
2015-04,174,679.56,4416,6944,14428,92455
2015-05,174,637.65,6906,17277,17822,68946
2015-06,215,569.08,4726,5388,61718,50521
2015-07,158,503.67,1125,3076,2505,72874
2015-08,39,619.59,355,720,2391,20698
2015-09,85,601.02,780,785,3042,46480
2015-10,107,536.73,3669,2919,4481,46361
2015-11,96,477.78,4065,3636,8217,29949
2015-12,168,384.45,4358,32041,4286,23903
2016-01,52,531.52,179,542,587,26331
2016-02,14,602.5,0,193,209,8033
2016-03,68,552.84,1604,811,2240,32938
2016-04,166,441.39,10135,5561,18273,39301
2016-05,212,443.39,13118,10807,17776,52297
2016-06,116,380.11,8061,3168,7927,24937
2016-07,66,370.03,712,2142,5096,16472
2016-08,73,357.29,224,1360,5386,19112
2016-09,71,362.52,1484,1995,3273,18987
2016-10,113,373.72,3070,1350,7247,30563
2016-11,129,338.66,2644,4620,9431,26992
2016-12,50,240.84,1848,1015,3370,5809
2017-01,37,252.46,206,518,558,8059
2017-02,18,218.89,295,203,434,3008
2017-03,41,248.68,492,428,1712,7564
2017-04,80,199.41,813,2566,4498,8076
2017-05,131,222.87,3693,4649,5820,15034
2017-06,71,188.83,1645,1500,2359,7903
2017-07,31,169.68,337,227,777,3919
2017-08,19,163.26,102,98,613,2289
2017-09,46,148.04,498,1077,1115,4120
2017-10,38,121.47,869,717,1111,1919
2017-11,37,142.49,221,602,1107,3342
2017-12,17,121.29,149,157,177,1579
2018-01,5,352.2,0,0,0,1761
2018-02,9,263.33,0,93,0,2277
2018-03,47,318.89,212,153,366,14257
2018-04,105,307.88,1356,1334,4484,25153
2018-05,90,311.48,1740,2546,5102,18645
2018-06,109,387.31,2405,1675,1675,36462
2018-07,105,435.77,235,736,1911,42874
2018-08,61,401.11,0,1997,1944,20527
2018-09,81,396.84,0,2388,3579,26177
2018-10,76,355.3,1814,1318,1756,22115
2018-11,49,269.55,440,2268,2226,8274
2018-12,29,214.31,1062,893,739,3521
2019-01,7,228.29,82,165,84,1267
2019-02,9,148.67,69,0,79,1190
2019-03,16,137.63,268,0,159,1775
2019-04,23,73.39,429,371,502,386
2019-05,40,142.5,312,742,230,4416
2019-06,46,156.39,422,441,339,5992
2019-07,31,204.39,0,83,197,6056
2019-08,32,212.0,0,105,0,6679
2019-09,28,190.93,0,877,0,4469
2019-10,37,164.24,1225,641,436,3775
2019-11,29,135.86,590,1340,392,1618
2019-12,15,221.93,226,865,122,2116
2020-02,10,55.2,0,110,28,414
2020-03,9,70.67,0,0,0,636
2020-04,10,60.0,32,162,35,371
2020-05,15,48.07,34,340,41,306
2020-06,20,52.0,0,334,213,493
2020-07,12,44.42,56,175,0,302
2020-08,9,33.0,0,98,81,118
2020-09,18,40.72,18,199,71,445
2020-10,23,40.52,266,93,235,338
2020-11,28,30.32,355,251,243,0
2020-12,9,19.44,30,35,69,41
2021-01,6,59.67,0,7,0,351
2021-02,8,33.38,12,41,17,197
2021-03,11,66.55,56,20,0,656
2021-04,20,37.4,100,190,0,458
2021-05,22,45.95,70,241,227,473
2021-06,16,40.06,145,80,61,355
2021-07,24,48.38,0,213,159,789
2021-08,10,45.6,0,135,40,281
2021-09,13,39.38,31,186,70,225
2021-10,18,43.06,175,62,110,428
2021-11,23,34.0,247,194,114,227
2021-12,19,36.95,53,98,71,480
2022-01,6,60.0,0,0,18,342
2022-02,6,32.5,0,60,0,135
2022-03,14,38.5,179,42,0,318
2022-04,24,70.54,78,326,66,1223
2022-05,30,51.4,168,285,345,744
2022-06,16,48.0,201,90,69,408
2022-07,21,66.9,128,209,145,923
2022-08,18,76.06,27,194,69,1079
2022-09,21,64.86,0,208,82,1072
2022-10,20,54.05,260,201,212,408
2022-11,32,57.66,595,123,388,739
2022-12,16,37.94,57,163,176,211
2023-01,13,60.54,41,69,25,652
2023-02,11,54.45,42,70,0,487
2023-03,17,52.35,145,57,71,617
2023-04,33,61.64,148,468,207,1211
2023-05,39,64.74,272,450,567,1236
2023-06,35,49.09,479,288,140,811
2023-07,24,52.88,227,154,182,706
2023-08,22,73.36,131,219,49,1215
2023-09,21,48.43,192,246,156,423
2023-10,27,78.15,323,202,70,1515
2023-11,50,63.32,1134,269,549,1214
2023-12,51,63.1,947,473,277,1521
2024-01,14,64.43,82,113,0,707
2024-02,17,72.41,96,142,109,884
2024-03,34,88.0,491,118,0,2383
2024-04,34,94.85,298,475,254,2198
2024-05,54,97.67,798,550,1019,2907
2024-06,37,83.16,794,253,188,1842
2024-07,28,94.71,337,279,0,2036
2024-08,31,106.94,285,388,48,2594
2024-09,37,101.38,701,391,77,2582
2024-10,34,109.44,571,275,256,2619
2024-11,45,81.24,1512,487,161,1496
2024-12,36,71.19,1021,398,153,991
2025-01,25,93.84,345,115,0,1886
2025-02,21,107.81,349,0,0,1915
2025-03,36,102.44,400,274,218,2796
2025-04,64,83.27,2194,849,534,1752
2025-05,39,51.36,1247,475,199,82
2025-06,10,26.3,167,0,57,39
2025-07,3,11.0,10,0,9,14
