主办方,计数
"""""""东南大学教务处、东南大学电子商务“三创赛”组织委员会 """"""",1
1,3
111,1
1111,2
2013－2017年教育部高等学校电子信息类专业教学指导委员会 等,1
2016“张三丰杯”竹产业国际工业设计大赛 等,1
2016北京国际设计周－751国际设计节 等,1
2016年浙江省高职高专院校技能大赛中华茶艺竞赛组委会,1
2016服务南博外语翻译大赛 等,1
2016第八届索非亚国际戏剧海报三年展,1
2017“读懂中国”大学生纪录片大赛组委会,1
2017天津城市艺术之旅第二届“和平杯”钢琴大赛组委会,1
2017年浙江省高职高专院校技能大赛“中华茶艺”竞赛组委会,1
2017第二届“五维源”杯中国苏州·小人国设计大赛,1
2018厦门国际动漫节,1
2019厦门市运动会赛事组委会,1
2019德国iF设计奖征集,1
2019白金创意国际大学生平面设计大赛,1
2021中国·烟台海内外精英创业大赛组委会,1
2021智博会组委会,1
2022 Code for Better _ Hackathon,1
2022中国·烟台海内外精英创业大赛组委会,1
2022年DFI计算机编程大赛组委会,1
2022年中国包装创意设计大赛,1
2022年第19届亚运会组委会,1
2023“联合国采购杯”全国大学生英语阅读大赛组委会,1
2023上海国际创客大赛,1
2023年东方设计奖·全国高校创新设计大赛,1
2023年河北省公益广告大赛,1
2023年首届武汉文化创意设计大赛,1
2023首届中国大学生旅游管理虚拟仿真大赛,1
2024“印象菏泽”征文活动正式开启！,1
2024上半年白雀奖全国原创诗词曲大赛,1
2024上海国际公益广告大赛,1
2024上海市节能宣传周海报设计征集,1
2024年全国数智商业生态运营大赛,1
2024年四川省科普讲解大赛,1
2024年首届教育信息技术应用创新大赛,1
2024深圳马拉松奖牌与吉祥物设计大赛,1
2025年第九届亚洲冬季运动会组织委员会,1
2025年（第18届）中国大学生计算机设计大赛,1
21世纪报社,1
357宿舍,1
360校园关系部 等,1
37家省市消协（消委会、消保委） 等,1
3D动力,1
3D动力（全国3D技术推广服务与教育培训联盟）,1
3D打印实验室,1
45省市消协组织 等,1
5•12青年志愿者协会,1
ABB中国,1
ABB（中国）有限公司,2
ACE 等,1
ACE无人机竞速挑战赛组委会,1
ACM-ICPC中国辽宁省大学生程序设计竞赛组织委员会主办,1
ACM/ICPC,1
ADC,1
APEC,1
ASC世界大学生超级计算机竞赛组委会,1
AceBridge,1
AdMob,1
Altera 等,1
Altán Klamovka Gallery,1
Asian Job Express,1
Astar百度之星,1
Atmel 等,1
Autodesk 中国教育管理中心,1
BAT,1
BONC东方国信,1
BOSS直聘 等,1
C2C Startups,1
CACT英语能力培养中心,1
CATICs组织委员会,1
CCII,1
CCTV,3
CCTV发现之旅,1
CDN,1
CLUE（Community Lighting for the Urban Environment，城市环境公共照明组织）,1
COMAP,7
COMAP公司,1
CVA注册估值分析师协会,1
Car Design News、Ultima Media Ltd,1
Chronicle Books  等,1
CloudWeGo,1
Cool Kids Fashion童装设计大赛组委会,1
DBR（DESIGN BUILD RESEARCH）,1
DECA,1
DataCastle数据城堡,1
Decathlon(迪卡侬),1
DeepModeling社区 等,1
EPLAN 中国销售及服务中心 等,1
ESWC,1
Elite世界精英模特大赛组委会,1
Esri中国信息技术有限公司,2
FBIF食品饮料创新论坛组委会 等,1
FIRA,1
Facebook,2
Fly Your Ideas,1
Futurize 等,1
GAME BANG 2021北京国际游戏创新大会组委会 等,1
GCIC 全球气候创新中心,1
GE基金会、GE中国研发中心与国际教育协会,1
GIFP中国,1
GMGC,1
GSVC,1
Giovanna,1
Google,2
H3C,1
HiQ量子计算软件团队 等,1
Hiiibrand（嗨！品牌）,1
Hiiibrand（嗨！品牌）网站,1
Honda中国,1
ICPC Asia EC委员会,1
ICPC Foundation,1
IDEA国际辩论教育协会,1
IDG 等,1
IECIE深圳电子烟展,1
IEEE中国 等,1
IEEE智能交通系统学会,1
IEEE美国电子与电气工程师协会,1
IFLA,1
IGG,1
IMA,1
IQ 商务中心,1
JA中国,1
JoblabX 未来职业实验室,1
Katus.eu 等,1
LETV,1
LEXUS雷克萨斯国际,1
LVMH,1
MSI微星科技,1
MathorCup全球大学生数学建模竞赛组委会,1
Microsoft Edge 浏览器开拓者大赛组委会,1
Mut zur Wut,2
NAFA杯中国国际青年裘皮服装设计大赛暨国际裘皮协会（IFTF）设计大赛中国预选赛组委会,1
NC 精致服务平台 等,1
NI美国国家仪器公司,1
NKA基金会（Nka Foundation）,1
Natuzzi,1
ONE·一个,1
OPPO研究院 等,1
OTIS,1
Office办公软件考试中心,4
Olympus 全球公开摄影大赛运营团队,1
RAW Design  等,1
REMIX,1
ROOBO北京智能管家科技有限公司 等,1
RPA中国,1
RoboCup国际联合会,2
RoboCup日本,1
SAE International,1
SAS中国,2
SESH赛思,1
SPE,2
Shelter株式会社,3
Sichuan Knowledgeable Intelligent Sciences 等,1
Silicon Valley Robotics 等,1
Sustainable Building Asia,1
TCL,1
TCT Magazine,1
TWT大学生交易联盟,1
The One Club for Art & Copy,2
The UK association of applied mathemativs 等,1
The Urban Space Improvement Bureau at Seoul Metropolitan Government,1
ThinkPad,1
ThoughtWorks,2
TopCoder,2
U+平台 等,1
UC Berkeley,1
UI中国 等,1
Vectorworks,1
WC3L,1
WEG,1
WHO-TDR 等,2
Wacom,1
WeBank  微众银行,1
arch out loud,1
eVolo 杂志,1
e络盟 等,1
iCAN 大学生创新创业大赛组委会,1
iCAN国际联盟 等,1
iCAN大学生创新创业大赛组委会,1
office办公软件考试中心,1
wu,1
 2025年中国大学生工程实践与创新能力大赛组委会,1
“21世纪杯”全国英语演讲比赛组委会,1
“Angela & Lucas”童装创意设计大赛组委会,1
“CFW&辛巴达杯”中国女装网络设计大赛组委会,1
“COCOON杯”中国国际女装设计师大奖赛组委会,1
“VISCAP杯”女装流行设计时装画大赛组委会,1
“一带一路”国际艺术教育联盟 等,1
“万事利杯”杭州丝绸旅游产品设计大赛组委会,1
“丝路杯”全国数独大赛组织委员会,1
“中华思想文化术语传播工程”秘书处 等,3
“中华杯”国际服装设计大赛组委会,1
“中国•织里”全国童装设计大赛组委会,1
“中国真维斯杯”休闲装设计大赛组委会,2
“中国软件杯”大学生软件设计大赛组委会,1
“中国轻纺城杯”中国国际时装创意设计大赛组委会,1
“中国领带名城杯”全国丝品花型设计大赛组委会,1
“中孚达杯”针织时装设计大赛组委会,1
“中韵杯”全国征文竞赛系列组委会 等,1
“乔丹杯”中国运动装备设计大赛组委会,1
“九牧王杯”中国时装设计新人奖组委会,1
“九牧王杯”中国裤装设计（精英）大赛组委会,1
“促进HIV检测”设计创新马拉松参赛组委会,1
“信风杯”全国高校征文大赛组委会,1
“全国大众创业万众创新活动周”组委会,3
