contest_class_first,contest_class_second,contest_class_second_id,contest_end_time,contest_id,contest_name,contest_start_time,contest_url,enter_range,is_contest_status,is_exam,is_new,level_name,module,organiser,organiser_name,rank,regist_end_time,regist_start_time,thumb_pic,time_name,time_status
1005,english,19,2025-04-26,53607,第五届全国高校商务翻译（英语）能力挑战赛,2025-04-26,vse/BTE2025,全国,1,0,0,全国性,0,中国对外贸易经济合作企业协会国际商务与语言服务工作委员会,主办方,0,2025-04-25,2025-03-13,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741945496630images.png,正在报名,12
1005,english,19,2025-04-26,51705,【证书主办单位可查】第二届“中促杯”全国大学生英语词汇能力挑战赛,2025-04-26,vse/CIAPST/25,全国,1,0,0,全国性,0,中国国际科技促进会综合素质与职业发展教育专业委员会,主办方,9,2025-04-26,2024-12-04,https://publicqn.saikr.com/contest/thmub/cropper/upload/1743390099324images.png,正在报名,12
1005,english,19,2025-04-26,51700,2025“冰雪杯”全国大学生外语写作大赛,2024-11-29,vse/BXBXZ2025,全国,1,0,0,全国性,0,哈尔滨市翻译协会,主办方,37,2025-04-26,2024-11-29,https://publicqn.saikr.com/contest/thmub/cropper/upload/1733911805755images.png,比赛进行中,22
1005,english,19,2025-04-27,53219,【周日开考】2025第四届UNIPP全国大学生英语词汇大赛,2025-04-27,vse/LHGCGB24,全国,1,0,0,全球性,0,中国联合国采购促进会,指导单位,4,2025-04-27,2025-01-16,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741600415151images.png,正在报名,12
1001,computer,6,2025-04-28,53322,2025计算机能力竞赛暨城市联赛——WEB 前端微信小程序开发团队赛道,2025-04-18,vse/CLWEB/2025,全国,1,0,0,全国性,0,大连市计算机学会 等,主办方,0,2025-04-28,2025-02-10,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739247824448images.png,比赛进行中,22
1003,business,26,2025-05-17,51390,【多赛道】大学生跨境电商实践大赛,2025-05-17,vse/CBEC1nd,全国,1,0,0,全国性,0,中国西部研究与发展促进会教育工作委员会 等,主办方,29,2025-05-16,2024-10-12,https://publicqn.saikr.com/2025/03/14/contest67d3a72803e075.601878491741924153235.png,正在报名,12
1005,english,19,2025-05-17,52312,2025年第四届全国青年创新翻译大赛,2024-12-30,vse/Translation/2025,全国,1,0,0,全国性,0,中国对外翻译有限公司,主办方,7,2025-05-17,2024-12-17,https://publicqn.saikr.com/contest/thmub/cropper/upload/1743415126238images.png,比赛进行中,22
1005,english,19,2025-05-18,53410,2025年第四届“空英杯”全国大学生英语语法竞赛,2025-05-17,vse/KYB/grammar25,全国,1,0,0,全国性,0,《空中英语教室》杂志社,主办方,41,2025-05-17,2025-02-19,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740041225372images.png,正在报名,12
1002,mechanics,35,2025-05-18,53247,【国赛/考研数学】2025“物联杯”全国大学生高新技术竞赛数学竞赛,2025-05-18,vse/WLMATH25,全国,1,0,0,全国性,0,中国国际科技促进会物联网工作委员会,主办方,22,2025-05-17,2025-01-20,https://publicqn.saikr.com/contest/thmub/cropper/upload/1737541473780images.png,正在报名,12
1005,english,19,2025-04-19,52383,2025年全国高校商务英语阅读大赛,2025-04-19,vse/SYR2025,全国,1,0,0,全国性,0,中国对外贸易经济合作企业协会国际商务与语言服务工作委员会,主办方,5,2025-05-18,2024-12-26,https://publicqn.saikr.com/contest/thmub/cropper/upload/1745229340637images.png,比赛结束,23
