年份,主题,总词频,词频明细
2022,汉字文化,38,汉字(0)，汉语言(0)，汉语(0)，文字(0)，传承(38)，甲骨文(0)，字体(0)，书法(0)，甲骨(0)，诗词(0)，识字(0)，二十四节气(0)，珠算(0)，古算(0)，算经(0)，算盘(0)
2022,现代中医药,12,中医(12)，中医药(0)，本草(0)，本草纲目(0)，李时珍(0)，华佗(0)，孙思邈(0)，张仲景(0)，针灸(0)，岐黄(0)，药食(0)，悬壶济世(0)，杏林(0)，百草(0)，草药(0)，药王(0)
2022,智能医疗,0,诊断(0)，诊断系统(0)，影像(0)，人脸识别(0)，YOLOv5(0)，YOLOv8(0)，STM32(0)，神经网络(0)，AIGC(0)，AIOT(0)
2022,文化遗产数字化,25,博物馆(0)，非遗(0)，文创(25)，IP(0)，3D(0)，VR(0)，AR(0)，数字孪生(0)，元宇宙(0)
2022,智慧教育,80,课堂(0)，校园(11)，高校(0)，大学生(0)，教育(69)，APP(0)，软件(0)，手语(0)，课程(0)
2022,人工智能+,37,AI(0)，人工智能(12)，机器人(25)，机器(0)，决策(0)，YOLO(0)，ROS(0)，SpringBoot(0)
2022,疫情防控,88,疫情(60)，新冠(0)，防疫(0)，防控(0)，疫苗(28)，应急(0)，救援(0)
2022,智能交通,0,无人驾驶(0)，驾驶(0)，物流(0)，交通(0)，北斗(0)，小车(0)，导航(0)
2022,生态环保,110,垃圾(15)，生态(0)，双碳(33)，植物(16)，森林(0)，能源(0)，绿色(46)
2022,农业智能化,15,农业(15)，养殖(0)，大棚(0)，无人机(0)，采集(0)
2022,传统医学,0,脉诊(0)，五禽戏(0)，食疗(0)，养生(0)，药膳(0)，杏林春暖(0)
2022,区块链应用,0,区块(0)，区块链(0)，结算(0)，智能合约(0)
2022,历史科技,0,九章算术(0)，九章(0)，祖冲之(0)，圆周率(0)，几何(0)，勾股(0)，珠算(0)，方圆(0)
2022,智能设备,25,无人机(0)，机器人(25)，STM32(0)，ROS(0)，智能家居(0)，传感器(0)
2022,数字健康,50,健康(39)，诊疗(0)，心理(11)，情绪(0)，疾病(0)，养生(0)
2022,文化IP创新,0,汉韵(0)，十二生肖(0)，四季(0)，神奇(0)，奥秘(0)，主题(0)，视角(0)
2022,工业智能化,0,工厂(0)，工业(0)，智控(0)，焊接(0)，3D打印(0)
2022,乡村振兴,134,乡村(76)，社区(58)，助农(0)，手工艺(0)，非遗(0)
2022,科普教育,42,儿童(14)，奥秘(0)，宇宙(12)，地球(0)，人体(0)，植物(16)
2022,算法与工具,0,神经网络(0)，YOLOv5(0)，YOLOv8(0)，AIGC(0)，AIOT(0)，SpringBoot(0)
2022,数字文旅,30,旅游(30)，博物馆(0)，AR(0)，VR(0)，沉浸式(0)
2022,社会服务,0,志愿(0)，公益(0)，救援(0)，无障碍(0)，服务平台(0)
2022,科学运动,48,五禽戏(0)，运动(35)，健身(13)，养生(0)，太极拳(0)
2022,跨学科研究,0,气候变化(0)，经济(0)，结算(0)，影像(0)，时空(0)
2023,汉字文化,31,汉字(0)，汉语言(0)，汉语(0)，文字(0)，传承(31)，甲骨文(0)，字体(0)，书法(0)，甲骨(0)，诗词(0)，识字(0)，二十四节气(0)，珠算(0)，古算(0)，算经(0)，算盘(0)
2023,现代中医药,0,中医(0)，中医药(0)，本草(0)，本草纲目(0)，李时珍(0)，华佗(0)，孙思邈(0)，张仲景(0)，针灸(0)，岐黄(0)，药食(0)，悬壶济世(0)，杏林(0)，百草(0)，草药(0)，药王(0)
2023,智能医疗,0,诊断(0)，诊断系统(0)，影像(0)，人脸识别(0)，YOLOv5(0)，YOLOv8(0)，STM32(0)，神经网络(0)，AIGC(0)，AIOT(0)
2023,文化遗产数字化,32,博物馆(0)，非遗(19)，文创(13)，IP(0)，3D(0)，VR(0)，AR(0)，数字孪生(0)，元宇宙(0)
2023,智慧教育,53,课堂(0)，校园(24)，高校(0)，大学生(0)，教育(29)，APP(0)，软件(0)，手语(0)，课程(0)
2023,人工智能+,51,AI(0)，人工智能(15)，机器人(36)，机器(0)，决策(0)，YOLO(0)，ROS(0)，SpringBoot(0)
2023,疫情防控,18,疫情(18)，新冠(0)，防疫(0)，防控(0)，疫苗(0)，应急(0)，救援(0)
2023,智能交通,11,无人驾驶(0)，驾驶(0)，物流(0)，交通(11)，北斗(0)，小车(0)，导航(0)
2023,生态环保,83,垃圾(0)，生态(34)，双碳(0)，植物(0)，森林(0)，能源(11)，绿色(38)
2023,农业智能化,38,农业(25)，养殖(0)，大棚(0)，无人机(13)，采集(0)
2023,传统医学,11,脉诊(0)，五禽戏(0)，食疗(0)，养生(11)，药膳(0)，杏林春暖(0)
2023,区块链应用,12,区块(12)，区块链(0)，结算(0)，智能合约(0)
2023,历史科技,0,九章算术(0)，九章(0)，祖冲之(0)，圆周率(0)，几何(0)，勾股(0)，珠算(0)，方圆(0)
2023,智能设备,49,无人机(13)，机器人(36)，STM32(0)，ROS(0)，智能家居(0)，传感器(0)
2023,数字健康,72,健康(61)，诊疗(0)，心理(0)，情绪(0)，疾病(0)，养生(11)
2023,文化IP创新,0,汉韵(0)，十二生肖(0)，四季(0)，神奇(0)，奥秘(0)，主题(0)，视角(0)
2023,工业智能化,26,工厂(0)，工业(26)，智控(0)，焊接(0)，3D打印(0)
2023,乡村振兴,147,乡村(81)，社区(34)，助农(13)，手工艺(0)，非遗(19)
2023,科普教育,0,儿童(0)，奥秘(0)，宇宙(0)，地球(0)，人体(0)，植物(0)
2023,算法与工具,0,神经网络(0)，YOLOv5(0)，YOLOv8(0)，AIGC(0)，AIOT(0)，SpringBoot(0)
2023,数字文旅,93,旅游(93)，博物馆(0)，AR(0)，VR(0)，沉浸式(0)
2023,社会服务,28,志愿(0)，公益(28)，救援(0)，无障碍(0)，服务平台(0)
2023,科学运动,25,五禽戏(0)，运动(0)，健身(14)，养生(11)，太极拳(0)
2023,跨学科研究,0,气候变化(0)，经济(0)，结算(0)，影像(0)，时空(0)
2024,汉字文化,60,汉字(0)，汉语言(0)，汉语(0)，文字(0)，传承(60)，甲骨文(0)，字体(0)，书法(0)，甲骨(0)，诗词(0)，识字(0)，二十四节气(0)，珠算(0)，古算(0)，算经(0)，算盘(0)
2024,现代中医药,14,中医(0)，中医药(14)，本草(0)，本草纲目(0)，李时珍(0)，华佗(0)，孙思邈(0)，张仲景(0)，针灸(0)，岐黄(0)，药食(0)，悬壶济世(0)，杏林(0)，百草(0)，草药(0)，药王(0)
2024,智能医疗,20,诊断(20)，诊断系统(0)，影像(0)，人脸识别(0)，YOLOv5(0)，YOLOv8(0)，STM32(0)，神经网络(0)，AIGC(0)，AIOT(0)
2024,文化遗产数字化,67,博物馆(0)，非遗(44)，文创(23)，IP(0)，3D(0)，VR(0)，AR(0)，数字孪生(0)，元宇宙(0)
2024,智慧教育,72,课堂(0)，校园(22)，高校(0)，大学生(0)，教育(50)，APP(0)，软件(0)，手语(0)，课程(0)
2024,人工智能+,122,AI(0)，人工智能(40)，机器人(82)，机器(0)，决策(0)，YOLO(0)，ROS(0)，SpringBoot(0)
2024,疫情防控,0,疫情(0)，新冠(0)，防疫(0)，防控(0)，疫苗(0)，应急(0)，救援(0)
2024,智能交通,23,无人驾驶(0)，驾驶(0)，物流(12)，交通(0)，北斗(0)，小车(0)，导航(11)
2024,生态环保,166,垃圾(17)，生态(46)，双碳(12)，植物(14)，森林(0)，能源(17)，绿色(60)
2024,农业智能化,73,农业(36)，养殖(14)，大棚(0)，无人机(23)，采集(0)
2024,传统医学,24,脉诊(0)，五禽戏(0)，食疗(0)，养生(24)，药膳(0)，杏林春暖(0)
2024,区块链应用,17,区块(17)，区块链(0)，结算(0)，智能合约(0)
2024,历史科技,0,九章算术(0)，九章(0)，祖冲之(0)，圆周率(0)，几何(0)，勾股(0)，珠算(0)，方圆(0)
2024,智能设备,117,无人机(23)，机器人(82)，STM32(0)，ROS(0)，智能家居(0)，传感器(12)
2024,数字健康,122,健康(85)，诊疗(13)，心理(0)，情绪(0)，疾病(0)，养生(24)
2024,文化IP创新,0,汉韵(0)，十二生肖(0)，四季(0)，神奇(0)，奥秘(0)，主题(0)，视角(0)
2024,工业智能化,37,工厂(0)，工业(37)，智控(0)，焊接(0)，3D打印(0)
2024,乡村振兴,173,乡村(106)，社区(23)，助农(0)，手工艺(0)，非遗(44)
2024,科普教育,31,儿童(17)，奥秘(0)，宇宙(0)，地球(0)，人体(0)，植物(14)
2024,算法与工具,0,神经网络(0)，YOLOv5(0)，YOLOv8(0)，AIGC(0)，AIOT(0)，SpringBoot(0)
2024,数字文旅,49,旅游(49)，博物馆(0)，AR(0)，VR(0)，沉浸式(0)
2024,社会服务,13,志愿(0)，公益(13)，救援(0)，无障碍(0)，服务平台(0)
2024,科学运动,55,五禽戏(0)，运动(18)，健身(13)，养生(24)，太极拳(0)
2024,跨学科研究,0,气候变化(0)，经济(0)，结算(0)，影像(0)，时空(0)
